No.,Image,Url,Description
1,,https://www.foodandwine.com/thmb/oQxMr-wP2YjxLZ63kRmGnlDy4ZI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Bun-bo-Hue-Vietnamese-Vermicelli-Noodle-Soup-with-Sliced-Beef-XL-RECIPE0423-47194f9a6efb4695ac72c76798f6aa64.jpg,"Bún bò Huế được yêu thích bởi hình thức bắt mắt và hương vị đậm đà khó quên. Bởi vậy, xứ Huế thu hút du khách không chỉ ở vẻ đẹp của sông Hương, núi Ngự,... mà còn ở món bún bò đặc sản đất cố đô."
2,,https://i.pinimg.com/474x/10/3f/ac/103face808d5d01f7591dca238124e29.jpg,"Điểm tạo nên sự khác biệt của bún bò Huế chính là sợi bún to, lát thịt bò mỏng mà to bản, nước lèo có màu đỏ cam với vị cay nồng hấp dẫn. Để nấu món đặc sản đất Huế này, người đứng bếp cần thực sự tỉ mỉ từ khâu chọn nguyên liệu tới các bước chế biến"
3,,https://i.pinimg.com/474x/69/84/08/69840860c5914abc4e44c39030c98835.jpg,"Nguyên Liệu Nấu Bún Bò Huế:
 - 2kg xương ống heo
 - 700g bắp bò
 - 700g bắp giò heo (nên chọn giò trước)
 - 10 cây sả
 - Sả băm, tỏi, ớt xay mỗi loại 100g
 - 100g ớt xanh
 - 200g hành tây
 - 100g gừng
 - 1 trái thơm chín
 - 20 chả lá Huế
 - Hành tím/ đầu hành lá, ngò rí xay mỗi loại 200g
 - Rau muống cọng, hoa chuối
 - Cọng bún bò tươi
 - Gia vị nấu bún bò Huế: mắm ruốc Huế Bà Duệ, dầu màu điều, nước mắm, đường phèn, muối, dầu ăn"
4,,https://vietnamtimes.org.vn/stores/news_dataimages/duongnganvnt/032021/30/19/5650_How-to-cook-bun-bo-hue.png?rt=20210331080527,"Bún bò Huế được yêu thích bởi hình thức bắt mắt và hương vị đậm đà khó quên. Bởi vậy, xứ Huế thu hút du khách không chỉ ở vẻ đẹp của sông Hương, núi Ngự,... mà còn ở món bún bò đặc sản đất cố đô."
5,,https://s3-ap-northeast-1.amazonaws.com/nem-vn.net/original/2020/09/bun-bo-hue-8-1600952032-11285.jpeg,"Điểm tạo nên sự khác biệt của bún bò Huế chính là sợi bún to, lát thịt bò mỏng mà to bản, nước lèo có màu đỏ cam với vị cay nồng hấp dẫn. Để nấu món đặc sản đất Huế này, người đứng bếp cần thực sự tỉ mỉ từ khâu chọn nguyên liệu tới các bước chế biến"
6,,https://i.pinimg.com/474x/71/08/80/710880018809a33849401c3591e20135.jpg,"Nguyên Liệu Nấu Bún Bò Huế:
 - 2kg xương ống heo
 - 700g bắp bò
 - 700g bắp giò heo (nên chọn giò trước)
 - 10 cây sả
 - Sả băm, tỏi, ớt xay mỗi loại 100g
 - 100g ớt xanh
 - 200g hành tây
 - 100g gừng
 - 1 trái thơm chín
 - 20 chả lá Huế
 - Hành tím/ đầu hành lá, ngò rí xay mỗi loại 200g
 - Rau muống cọng, hoa chuối
 - Cọng bún bò tươi
 - Gia vị nấu bún bò Huế: mắm ruốc Huế Bà Duệ, dầu màu điều, nước mắm, đường phèn, muối, dầu ăn"
7,,https://i.pinimg.com/564x/11/b4/26/11b42669f5098adb651f3a516471f794.jpg,"Một số lưu ý khi nấu bún bò Huế
 * Xương ống heo, bắp bò, bắp giò cần phải được trụng qua trong nồi nước sôi, sau đó mang ngâm nước đá cho nguội hoặc rửa sạch lại với nước lạnh để giúp nước dùng bún bò trong hơn.
 
 * Độ mặn của mỗi loại mắm ruốc là khác nhau nên bạn chú ý nêm một cách từ từ hoặc gia giảm lại cho phù hợp với khẩu vị của mình.
 
 * Rau muống và hoa chuối sau khi bào cần ngâm vào âu nước có pha với nước cốt chanh để không bị đen."
8,,https://c2.staticflickr.com/8/7457/9132698028_f54d5bcf96_b.jpg,"Bún bò Huế được yêu thích bởi hình thức bắt mắt và hương vị đậm đà khó quên. Bởi vậy, xứ Huế thu hút du khách không chỉ ở vẻ đẹp của sông Hương, núi Ngự,... mà còn ở món bún bò đặc sản đất cố đô."
9,,https://woonheng.com/wp-content/uploads/2020/12/Bun-Bo-Hue-Chay-1-scaled.jpg,"Điểm tạo nên sự khác biệt của bún bò Huế chính là sợi bún to, lát thịt bò mỏng mà to bản, nước lèo có màu đỏ cam với vị cay nồng hấp dẫn. Để nấu món đặc sản đất Huế này, người đứng bếp cần thực sự tỉ mỉ từ khâu chọn nguyên liệu tới các bước chế biến"
10,,https://i.pinimg.com/564x/38/92/e1/3892e179ff9f8d9e33b0711a9eb3c0b2.jpg,"Nguyên Liệu Nấu Bún Bò Huế:
 - 2kg xương ống heo
 - 700g bắp bò
 - 700g bắp giò heo (nên chọn giò trước)
 - 10 cây sả
 - Sả băm, tỏi, ớt xay mỗi loại 100g
 - 100g ớt xanh
 - 200g hành tây
 - 100g gừng
 - 1 trái thơm chín
 - 20 chả lá Huế
 - Hành tím/ đầu hành lá, ngò rí xay mỗi loại 200g
 - Rau muống cọng, hoa chuối
 - Cọng bún bò tươi
 - Gia vị nấu bún bò Huế: mắm ruốc Huế Bà Duệ, dầu màu điều, nước mắm, đường phèn, muối, dầu ăn"
